indentation(m),F_avg(N),F_std(N)
2.0163877943155372e-07,3.3947265262274507e-10,2.2832380520803917e-10
2.021793659715847e-07,3.4237939367550853e-10,2.3141618615518735e-10
2.0271995251161567e-07,3.452954957810764e-10,2.3452221322121595e-10
2.0326053905164665e-07,3.482164613830992e-10,2.376375993261371e-10
2.0380112559167762e-07,3.5114305998925195e-10,2.407620443754003e-10
2.043417121317086e-07,3.5411685641293963e-10,2.4395352428077727e-10
2.0488229867173957e-07,3.571882446258267e-10,2.474044727708602e-10
2.0542288521177055e-07,3.602927164258015e-10,2.5089095996076965e-10
2.0596347175180153e-07,3.634246560953056e-10,2.543912791831588e-10
2.065040582918325e-07,3.665577145207641e-10,2.578984241068599e-10
2.0704464483186348e-07,3.697314622231044e-10,2.614625914159188e-10
2.0758523137189445e-07,3.729684730258171e-10,2.6508860730129334e-10
2.081258179119254e-07,3.762496201244887e-10,2.6871818802448986e-10
2.0866640445195638e-07,3.795557364236022e-10,2.723524607128361e-10
2.0920699099198736e-07,3.8288172195958594e-10,2.759898646121744e-10
2.0974757753201833e-07,3.8625069976997477e-10,2.7962354171952224e-10
2.102881640720493e-07,3.896533672192693e-10,2.832528532259975e-10
2.1082875061208028e-07,3.930624152791898e-10,2.8688578226074494e-10
2.1136933715211126e-07,3.964948381431641e-10,2.9051398529324895e-10
2.1190992369214223e-07,3.9999963918590897e-10,2.9424429614945433e-10
2.124505102321732e-07,4.035352073602052e-10,2.9804021795047974e-10
2.1299109677220419e-07,4.07083993249492e-10,3.0183450255008856e-10
2.1353168331223516e-07,4.106807237793338e-10,3.056931349761658e-10
2.1407226985226614e-07,4.1430167058275805e-10,3.0959038234784975e-10
2.1461285639229711e-07,4.179269393305162e-10,3.1349550866864185e-10
2.151534429323281e-07,4.215638545595709e-10,3.174085747561805e-10
2.1569402947235907e-07,4.252550094188523e-10,3.214769911545938e-10
2.1623461601239004e-07,4.289562497342064e-10,3.2561065042525973e-10
2.1677520255242102e-07,4.326854374130468e-10,3.298503155724981e-10
2.17315789092452e-07,4.364181021673325e-10,3.340924630455263e-10
2.1785637563248297e-07,4.401540170202978e-10,3.383271591796084e-10
